"Date Reported","Region","Borough/Census Area","Community","All Cases"
03/16/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
03/16/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/16/2020,Southeast,Petersburg Borough,Petersburg,1
03/17/2020,Anchorage,Anchorage Municipality,Anchorage,1
03/17/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/17/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
03/17/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,2
03/18/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/18/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
03/19/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
03/20/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/21/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/21/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
03/21/2020,Gulf Coast,Kenai Peninsula Borough,Sterling,1
03/21/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/21/2020,Southeast,Juneau City and Borough,Juneau,1
03/21/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,4
03/22/2020,Anchorage,Anchorage Municipality,Anchorage,8
03/22/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/22/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,2
03/22/2020,Southeast,Juneau City and Borough,Juneau,1
03/22/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/23/2020,Anchorage,Anchorage Municipality,Anchorage,1
03/23/2020,Gulf Coast,Kenai Peninsula Borough,Sterling,1
03/23/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
03/24/2020,Anchorage,Anchorage Municipality,Anchorage,3
03/24/2020,Anchorage,Anchorage Municipality,Chugiak,1
03/24/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,3
03/25/2020,Anchorage,Anchorage Municipality,Anchorage,8
03/25/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/25/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
03/25/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
03/25/2020,Interior,Fairbanks North Star Borough,North Pole,2
03/26/2020,Anchorage,Anchorage Municipality,Anchorage,4
03/26/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/26/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
03/26/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/26/2020,Southeast,Juneau City and Borough,Juneau,1
03/26/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/27/2020,Anchorage,Anchorage Municipality,Anchorage,9
03/27/2020,Anchorage,Anchorage Municipality,Girdwood,1
03/27/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
03/27/2020,Interior,Fairbanks North Star Borough,North Pole,2
03/27/2020,Interior,Yukon-Koyukuk Census Area,Other,1
03/27/2020,Southeast,Juneau City and Borough,Juneau,1
03/28/2020,Anchorage,Anchorage Municipality,Anchorage,13
03/28/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/28/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
03/28/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
03/28/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
03/28/2020,Interior,Fairbanks North Star Borough,North Pole,1
03/28/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
03/29/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/29/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
03/29/2020,Interior,Fairbanks North Star Borough,Fairbanks,4
03/29/2020,Southeast,Juneau City and Borough,Juneau,1
03/30/2020,Anchorage,Anchorage Municipality,Anchorage,2
03/30/2020,Interior,Fairbanks North Star Borough,Fairbanks,7
03/30/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
03/31/2020,Anchorage,Anchorage Municipality,Anchorage,1
03/31/2020,Anchorage,Anchorage Municipality,Chugiak,1
03/31/2020,Anchorage,Anchorage Municipality,Eagle River,1
03/31/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
03/31/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
03/31/2020,Interior,Fairbanks North Star Borough,North Pole,2
03/31/2020,Interior,Fairbanks North Star Borough,Other,1
03/31/2020,Southeast,Juneau City and Borough,Juneau,4
04/01/2020,Anchorage,Anchorage Municipality,Anchorage,2
04/01/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
04/01/2020,Interior,Fairbanks North Star Borough,North Pole,1
04/01/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/01/2020,Southeast,Juneau City and Borough,Juneau,1
04/01/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
04/02/2020,Anchorage,Anchorage Municipality,Anchorage,7
04/02/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
04/02/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
04/02/2020,Interior,Southeast Fairbanks Census Area,Delta Junction,1
04/02/2020,Southeast,Juneau City and Borough,Juneau,1
04/03/2020,Anchorage,Anchorage Municipality,Anchorage,6
04/03/2020,Anchorage,Anchorage Municipality,Eagle River,1
04/03/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
04/03/2020,Interior,Fairbanks North Star Borough,North Pole,1
04/03/2020,Southeast,Juneau City and Borough,Juneau,1
04/04/2020,Anchorage,Anchorage Municipality,Anchorage,4
04/04/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
04/04/2020,Interior,Fairbanks North Star Borough,Fairbanks,7
04/04/2020,Southeast,Juneau City and Borough,Juneau,2
04/05/2020,Anchorage,Anchorage Municipality,Anchorage,2
04/05/2020,Anchorage,Anchorage Municipality,Chugiak,1
04/05/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
04/05/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
04/05/2020,Southeast,Petersburg Borough,Petersburg,1
04/06/2020,Anchorage,Anchorage Municipality,Anchorage,10
04/06/2020,Interior,Fairbanks North Star Borough,Fairbanks,9
04/06/2020,Interior,Fairbanks North Star Borough,North Pole,2
04/06/2020,Southwest,Bethel Census Area,Bethel,1
04/07/2020,Anchorage,Anchorage Municipality,Anchorage,6
04/07/2020,Interior,Fairbanks North Star Borough,Fairbanks,5
04/07/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
04/07/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/08/2020,Anchorage,Anchorage Municipality,Anchorage,5
04/08/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
04/08/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
04/08/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/09/2020,Anchorage,Anchorage Municipality,Anchorage,3
04/09/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
04/09/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
04/09/2020,Interior,Fairbanks North Star Borough,North Pole,1
04/09/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
04/09/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/09/2020,Southeast,Juneau City and Borough,Juneau,1
04/10/2020,Anchorage,Anchorage Municipality,Anchorage,9
04/10/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/10/2020,Southeast,Prince of Wales-Hyder Census Area,Craig,1
04/11/2020,Anchorage,Anchorage Municipality,Anchorage,5
04/11/2020,Anchorage,Anchorage Municipality,Girdwood,1
04/11/2020,Interior,Fairbanks North Star Borough,Fairbanks,3
04/11/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
04/11/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,3
04/11/2020,Southeast,Juneau City and Borough,Juneau,1
04/11/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
04/12/2020,Anchorage,Anchorage Municipality,Anchorage,4
04/12/2020,Southeast,Juneau City and Borough,Juneau,1
04/13/2020,Anchorage,Anchorage Municipality,Anchorage,4
04/13/2020,Anchorage,Anchorage Municipality,Girdwood,1
04/13/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/13/2020,Southeast,Juneau City and Borough,Juneau,1
04/13/2020,Southeast,Prince of Wales-Hyder Census Area,Craig,1
04/14/2020,Anchorage,Anchorage Municipality,Anchorage,3
04/14/2020,Gulf Coast,Kenai Peninsula Borough,Sterling,1
04/14/2020,Northern,Nome Census Area,Nome,1
04/14/2020,Southeast,Juneau City and Borough,Juneau,3
04/15/2020,Anchorage,Anchorage Municipality,Anchorage,4
04/15/2020,Gulf Coast,Kodiak Island Borough,Kodiak,1
04/15/2020,Southeast,Juneau City and Borough,Juneau,2
04/16/2020,Anchorage,Anchorage Municipality,Anchorage,7
04/16/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
04/16/2020,Southeast,Juneau City and Borough,Juneau,1
04/17/2020,Anchorage,Anchorage Municipality,Anchorage,1
04/17/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,2
04/17/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
04/17/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/18/2020,Anchorage,Anchorage Municipality,Anchorage,3
04/18/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
04/18/2020,Southeast,Petersburg Borough,Petersburg,1
04/19/2020,Anchorage,Anchorage Municipality,Chugiak,1
04/19/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
04/20/2020,Anchorage,Anchorage Municipality,Anchorage,4
04/20/2020,Anchorage,Anchorage Municipality,Eagle River,1
04/20/2020,Southeast,Juneau City and Borough,Juneau,2
04/20/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
04/21/2020,Anchorage,Anchorage Municipality,Anchorage,4
04/21/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/21/2020,Southeast,Juneau City and Borough,Juneau,1
04/22/2020,Anchorage,Anchorage Municipality,Anchorage,2
04/23/2020,Anchorage,Anchorage Municipality,Anchorage,1
04/23/2020,Anchorage,Anchorage Municipality,Chugiak,1
04/25/2020,Interior,Fairbanks North Star Borough,North Pole,1
04/25/2020,Southeast,Sitka City and Borough,Sitka,1
04/26/2020,Anchorage,Anchorage Municipality,Anchorage,2
04/26/2020,Anchorage,Anchorage Municipality,Eagle River,1
04/26/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
04/27/2020,Anchorage,Anchorage Municipality,Anchorage,3
04/27/2020,Anchorage,Anchorage Municipality,Chugiak,1
04/27/2020,Interior,Fairbanks North Star Borough,North Pole,1
04/27/2020,Southeast,Petersburg Borough,Petersburg,1
04/28/2020,Anchorage,Anchorage Municipality,Anchorage,2
04/28/2020,Anchorage,Anchorage Municipality,Eagle River,2
04/30/2020,Anchorage,Anchorage Municipality,Anchorage,5
04/30/2020,Anchorage,Anchorage Municipality,Eagle River,1
04/30/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
04/30/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
04/30/2020,Interior,Fairbanks North Star Borough,North Pole,1
05/01/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
05/02/2020,Anchorage,Anchorage Municipality,Anchorage,2
05/02/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
05/03/2020,Anchorage,Anchorage Municipality,Anchorage,2
05/04/2020,Anchorage,Anchorage Municipality,Anchorage,1
05/05/2020,Interior,Southeast Fairbanks Census Area,Tok,1
05/06/2020,Anchorage,Anchorage Municipality,Eagle River,1
05/06/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
05/07/2020,Anchorage,Anchorage Municipality,Anchorage,3
05/08/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
05/09/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
05/10/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
05/10/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
05/11/2020,Southeast,Juneau City and Borough,Juneau,2
05/12/2020,Anchorage,Anchorage Municipality,Anchorage,1
05/13/2020,Anchorage,Anchorage Municipality,Anchorage,4
05/13/2020,Interior,Southeast Fairbanks Census Area,Tok,1
05/14/2020,Anchorage,Anchorage Municipality,Anchorage,1
05/15/2020,Anchorage,Anchorage Municipality,Anchorage,1
05/15/2020,Anchorage,Anchorage Municipality,Chugiak,1
05/15/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
05/15/2020,Southwest,Bethel Census Area,Other,1
05/16/2020,Anchorage,Anchorage Municipality,Anchorage,2
05/16/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
05/16/2020,Southeast,Juneau City and Borough,Juneau,1
05/17/2020,Anchorage,Anchorage Municipality,Anchorage,2
05/17/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
05/19/2020,Anchorage,Anchorage Municipality,Anchorage,1
05/19/2020,Northern,Northwest Arctic Borough,Other,1
05/19/2020,Southwest,Bristol Bay plus Lake and Peninsula,Other,1
05/21/2020,Northern,Nome Census Area,Nome,1
05/21/2020,Southeast,Juneau City and Borough,Juneau,1
05/22/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,2
05/22/2020,Northern,Nome Census Area,Nome,1
05/22/2020,Northern,Northwest Arctic Borough,Other,1
05/24/2020,Gulf Coast,Kenai Peninsula Borough,Fritz Creek,1
05/25/2020,Anchorage,Anchorage Municipality,Anchorage,1
05/25/2020,Southeast,Sitka City and Borough,Sitka,1
05/26/2020,Southwest,Bethel Census Area,Other,1
05/27/2020,Anchorage,Anchorage Municipality,Anchorage,3
05/27/2020,Anchorage,Anchorage Municipality,Girdwood,1
05/27/2020,Gulf Coast,Kenai Peninsula Borough,Homer,2
05/27/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
05/27/2020,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
05/27/2020,Gulf Coast,Kenai Peninsula Borough,Other South,3
05/27/2020,Northern,North Slope Borough,Other,1
05/27/2020,Southeast,Juneau City and Borough,Juneau,1
05/28/2020,Anchorage,Anchorage Municipality,Anchorage,2
05/28/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
05/28/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
05/28/2020,Southeast,Juneau City and Borough,Juneau,1
05/29/2020,Anchorage,Anchorage Municipality,Anchorage,1
05/29/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
05/29/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
05/30/2020,Anchorage,Anchorage Municipality,Anchorage,13
05/30/2020,Anchorage,Anchorage Municipality,Eagle River,3
05/30/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
05/30/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
05/30/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,3
05/30/2020,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
05/30/2020,Gulf Coast,Kenai Peninsula Borough,Other South,2
05/30/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,4
05/31/2020,Anchorage,Anchorage Municipality,Anchorage,3
05/31/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
05/31/2020,Gulf Coast,Kenai Peninsula Borough,Other South,2
05/31/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/01/2020,Anchorage,Anchorage Municipality,Anchorage,15
06/01/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,3
06/01/2020,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
06/01/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/02/2020,Anchorage,Anchorage Municipality,Anchorage,5
06/02/2020,Anchorage,Anchorage Municipality,Eagle River,2
06/02/2020,Gulf Coast,Kenai Peninsula Borough,Homer,4
06/02/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/02/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/02/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/02/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,3
06/02/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
06/03/2020,Anchorage,Anchorage Municipality,Anchorage,6
06/03/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
06/03/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/03/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/03/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
06/04/2020,Anchorage,Anchorage Municipality,Anchorage,4
06/04/2020,Anchorage,Anchorage Municipality,Eagle River,2
06/04/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
06/04/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/04/2020,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
06/04/2020,Gulf Coast,Kenai Peninsula Borough,Other South,2
06/05/2020,Anchorage,Anchorage Municipality,Eagle River,2
06/05/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,2
06/05/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/05/2020,Gulf Coast,Kenai Peninsula Borough,Other North,1
06/05/2020,Gulf Coast,Kenai Peninsula Borough,Other South,6
06/06/2020,Anchorage,Anchorage Municipality,Anchorage,5
06/06/2020,Anchorage,Anchorage Municipality,Eagle River,1
06/06/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/06/2020,Southeast,Juneau City and Borough,Juneau,1
06/07/2020,Anchorage,Anchorage Municipality,Anchorage,10
06/07/2020,Gulf Coast,Kenai Peninsula Borough,Homer,2
06/07/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/07/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/07/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,2
06/07/2020,Southeast,Juneau City and Borough,Juneau,1
06/07/2020,Southeast,Wrangell City and Borough,Wrangell,1
06/08/2020,Anchorage,Anchorage Municipality,Anchorage,6
06/08/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
06/08/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/08/2020,Northern,Nome Census Area,Nome,1
06/08/2020,Northern,Northwest Arctic Borough,Kotzebue,1
06/08/2020,Southeast,Haines Borough,Haines,1
06/09/2020,Anchorage,Anchorage Municipality,Anchorage,7
06/09/2020,Anchorage,Anchorage Municipality,Eagle River,2
06/09/2020,Gulf Coast,Kenai Peninsula Borough,Homer,5
06/09/2020,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
06/09/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/09/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
06/09/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/09/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
06/09/2020,Southeast,Sitka City and Borough,Sitka,1
06/10/2020,Anchorage,Anchorage Municipality,Anchorage,4
06/10/2020,Gulf Coast,Kenai Peninsula Borough,Fritz Creek,1
06/10/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/10/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/10/2020,Gulf Coast,Kodiak Island Borough,Kodiak,1
06/10/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
06/10/2020,Interior,Fairbanks North Star Borough,North Pole,2
06/10/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/10/2020,Northern,Northwest Arctic Borough,Other,1
06/10/2020,Southeast,Juneau City and Borough,Juneau,2
06/10/2020,Southeast,Sitka City and Borough,Sitka,3
06/11/2020,Anchorage,Anchorage Municipality,Anchorage,5
06/11/2020,Anchorage,Anchorage Municipality,Girdwood,1
06/11/2020,Gulf Coast,Kenai Peninsula Borough,Fritz Creek,1
06/11/2020,Gulf Coast,Kenai Peninsula Borough,Homer,4
06/11/2020,Interior,Fairbanks North Star Borough,North Pole,1
06/11/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
06/11/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Other,1
06/12/2020,Anchorage,Anchorage Municipality,Anchorage,7
06/12/2020,Anchorage,Anchorage Municipality,Eagle River,1
06/12/2020,Gulf Coast,Kenai Peninsula Borough,Homer,4
06/12/2020,Gulf Coast,Kenai Peninsula Borough,Other South,2
06/12/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
06/12/2020,Interior,Fairbanks North Star Borough,North Pole,2
06/12/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/12/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
06/12/2020,Northern,Nome Census Area,Other,1
06/12/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,2
06/12/2020,Southeast,Sitka City and Borough,Sitka,2
06/12/2020,Southeast,Wrangell City and Borough,Wrangell,1
06/12/2020,Southwest,Bethel Census Area,Other,1
06/13/2020,Anchorage,Anchorage Municipality,Anchorage,3
06/13/2020,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
06/13/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
06/13/2020,Interior,Fairbanks North Star Borough,North Pole,2
06/13/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/14/2020,Anchorage,Anchorage Municipality,Anchorage,1
06/14/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/14/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
06/15/2020,Anchorage,Anchorage Municipality,Anchorage,5
06/15/2020,Anchorage,Anchorage Municipality,Eagle River,1
06/15/2020,Anchorage,Anchorage Municipality,Girdwood,1
06/15/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/15/2020,Gulf Coast,Kenai Peninsula Borough,Kenai,1
06/15/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/15/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/15/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
06/15/2020,Southwest,Bethel Census Area,Other,1
06/16/2020,Anchorage,Anchorage Municipality,Anchorage,1
06/16/2020,Anchorage,Anchorage Municipality,Chugiak,1
06/16/2020,Anchorage,Anchorage Municipality,Eagle River,1
06/16/2020,Anchorage,Anchorage Municipality,Girdwood,1
06/16/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/16/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/16/2020,Gulf Coast,Kodiak Island Borough,Kodiak,1
06/16/2020,Interior,Fairbanks North Star Borough,Fairbanks,6
06/16/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,2
06/16/2020,Northern,North Slope Borough,Other,1
06/16/2020,Southeast,Juneau City and Borough,Juneau,1
06/16/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
06/16/2020,Southeast,Sitka City and Borough,Sitka,1
06/16/2020,Southeast,Wrangell City and Borough,Wrangell,1
06/17/2020,Anchorage,Anchorage Municipality,Anchorage,2
06/17/2020,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
06/17/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
06/17/2020,Interior,Fairbanks North Star Borough,North Pole,1
06/17/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,2
06/17/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
06/17/2020,Southeast,Juneau City and Borough,Juneau,1
06/17/2020,Southeast,Ketchikan Gateway Borough,Ketchikan,1
06/17/2020,Southwest,Bristol Bay plus Lake and Peninsula,Other,1
06/18/2020,Anchorage,Anchorage Municipality,Anchorage,7
06/18/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/18/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
06/18/2020,Interior,Fairbanks North Star Borough,North Pole,1
06/18/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/18/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
06/18/2020,Northern,North Slope Borough,Other,1
06/18/2020,Southeast,Haines Borough,Haines,1
06/18/2020,Southwest,Bethel Census Area,Other,1
06/18/2020,Southwest,Dillingham Census Area,Dillingham,1
06/19/2020,Anchorage,Anchorage Municipality,Anchorage,7
06/19/2020,Anchorage,Anchorage Municipality,Eagle River,1
06/19/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/19/2020,Gulf Coast,Kenai Peninsula Borough,Other South,1
06/19/2020,Interior,Fairbanks North Star Borough,Fairbanks,4
06/19/2020,Interior,Fairbanks North Star Borough,North Pole,3
06/19/2020,Interior,Yukon-Koyukuk Census Area,Other,1
06/19/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
06/19/2020,Southeast,Sitka City and Borough,Sitka,2
06/20/2020,Anchorage,Anchorage Municipality,Anchorage,6
06/20/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/20/2020,Interior,Fairbanks North Star Borough,Fairbanks,1
06/20/2020,Interior,Fairbanks North Star Borough,North Pole,2
06/20/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/21/2020,Anchorage,Anchorage Municipality,Anchorage,3
06/21/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/21/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
06/21/2020,Northern,North Slope Borough,Other,1
06/22/2020,Anchorage,Anchorage Municipality,Anchorage,9
06/22/2020,Gulf Coast,Kenai Peninsula Borough,Homer,1
06/22/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
06/22/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/22/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,1
06/22/2020,Northern,Nome Census Area,Nome,1
06/22/2020,Southwest,Bethel Census Area,Bethel,1
06/23/2020,Anchorage,Anchorage Municipality,Anchorage,7
06/23/2020,Anchorage,Anchorage Municipality,Chugiak,1
06/23/2020,Interior,Fairbanks North Star Borough,Fairbanks,2
06/23/2020,Interior,Fairbanks North Star Borough,North Pole,1
06/23/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/23/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Other,1
06/23/2020,Southeast,Ketchikan Gateway Borough,Other,1
06/24/2020,Anchorage,Anchorage Municipality,Anchorage,6
06/24/2020,Anchorage,Anchorage Municipality,Eagle River,1
06/24/2020,Gulf Coast,Chugach Census Area,Valdez,1
06/24/2020,Gulf Coast,Kenai Peninsula Borough,Homer,3
06/24/2020,Gulf Coast,Kenai Peninsula Borough,Other North,1
06/24/2020,Gulf Coast,Kenai Peninsula Borough,Seward,1
06/24/2020,Interior,Fairbanks North Star Borough,Fairbanks,5
06/24/2020,Interior,Fairbanks North Star Borough,North Pole,2
06/24/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
06/24/2020,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,2
06/24/2020,Southwest,Bethel Census Area,Bethel,1
06/25/2020,Anchorage,Anchorage Municipality,Anchorage,5
